client_id,account_id,genero,idade,nome_distrito,regiao,salario_medio_distrito,taxa_desemprego_96,frequency,saldo_medio,num_transacoes,volume_movimentado,emprestimo_ativo,valor_emprestimo,num_cartoes,status,risco,probabilidade_risco
4918,4081,M,31,Praha - zapad,central Bohemia,9622,0.59,POPLATEK MESICNE,10176.706976744186,215,1078108,0,137904.0,0,B,1,0.9
11327,9199,M,52,Olomouc,north Moravia,8994,4.79,POPLATEK MESICNE,13411.633484162896,221,1030630,0,29448.0,0,B,1,0.86
2823,2335,F,53,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,6690.547112462006,329,1033923,1,541200.0,0,D,1,0.85
25,19,F,60,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,16253.069306930693,303,1575532,0,30276.0,0,B,1,0.85
9675,7824,F,29,Prostejov,south Moravia,8441,4.48,POPLATEK MESICNE,36164.18879056048,339,3405704,0,189696.0,0,B,1,0.82
12859,10451,F,23,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,19822.57357859532,598,2244882,1,482940.0,0,D,1,0.81
424,347,M,52,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,43980.70448548813,379,3945724,0,187224.0,0,B,1,0.81
512,426,F,34,Prostejov,south Moravia,8441,4.48,POPLATEK MESICNE,34002.15990990991,444,3107455,1,252060.0,0,D,1,0.8
2635,2176,F,33,Bruntal,north Moravia,8110,6.55,POPLATEK MESICNE,34860.12951167728,471,4076300,0,299088.0,0,B,1,0.78
7980,6609,M,23,Jindrichuv Hradec,south Bohemia,8427,1.54,POPLATEK MESICNE,38553.81850533808,281,2248914,0,60156.0,0,B,1,0.78
9196,7418,F,60,Tabor,south Bohemia,9104,2.07,POPLATEK MESICNE,16124.055702917773,377,1574936,0,30276.0,0,B,1,0.78
3962,3273,M,47,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,34594.553846153845,260,3915498,0,94512.0,0,B,1,0.77
2166,1787,F,52,Sokolov,west Bohemia,9650,3.67,POPLATEK TYDNE,44264.57320099256,403,4108893,0,96396.0,0,B,1,0.76
5788,4794,M,37,Olomouc,north Moravia,8994,4.79,POPLATEK MESICNE,18703.736040609136,197,884761,1,465504.0,0,D,1,0.76
11105,9017,F,42,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,15865.943820224718,267,1018345,1,100224.0,0,D,1,0.76
6567,5442,F,21,Kolin,central Bohemia,9307,4.43,POPLATEK MESICNE,30542.00566037736,530,4338775,0,174744.0,1,B,1,0.76
6895,5700,M,28,Havlickuv Brod,east Bohemia,8388,2.94,POPLATEK MESICNE,21089.54366197183,355,1451909,1,103680.0,0,D,1,0.75
1327,1106,F,36,Strakonice,south Bohemia,8547,3.64,POPLATEK TYDNE,37400.72823218998,379,3544932,0,192552.0,0,B,1,0.75
12756,10365,F,50,Domazlice,west Bohemia,8620,1.25,POPLATEK MESICNE,48178.88352272727,352,3136576,1,260640.0,0,D,1,0.75
10566,8566,F,57,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,32238.699115044248,452,3063544,0,230220.0,0,B,1,0.74
6115,5066,F,46,Rakovnik,central Bohemia,8598,3.26,POPLATEK TYDNE,43681.72672672672,333,2387814,0,61656.0,0,B,1,0.74
7166,5927,M,35,Cesky Krumlov,south Bohemia,9045,3.6,POPLATEK MESICNE,17821.677290836655,502,1919824,0,87216.0,0,B,1,0.74
5384,4462,M,64,Opava,north Moravia,8746,3.74,POPLATEK TYDNE,31561.55276381909,199,1940836,0,66480.0,0,B,1,0.73
3670,3037,F,19,Chrudim,east Bohemia,8254,3.76,POPLATEK MESICNE,33307.33828996283,269,2323581,1,277884.0,0,D,1,0.73
2422,1993,F,23,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK MESICNE,33456.97530864197,243,2170219,0,68400.0,0,B,1,0.73
7348,6083,F,22,Kutna Hora,central Bohemia,8546,4.02,POPLATEK TYDNE,44139.00909090909,220,2500616,1,360864.0,0,D,1,0.73
4433,3678,M,31,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,9629.374396135268,414,1600825,1,316140.0,0,D,1,0.72
6551,5428,F,51,Karlovy Vary,west Bohemia,8991,2.01,POPLATEK MESICNE,45002.30131004367,458,4661974,0,174744.0,0,B,1,0.71
7727,6400,F,41,Tachov,west Bohemia,8930,4.2,POPLATEK PO OBRATU,40908.19163763066,287,2053496,0,72408.0,0,B,1,0.71
10355,8381,F,23,Ceske Budejovice,south Bohemia,10045,1.71,POPLATEK MESICNE,49787.87265917603,267,2750914,1,333648.0,0,D,1,0.7
3829,3166,M,27,Kromeriz,south Moravia,8444,3.47,POPLATEK MESICNE,51253.644028103045,427,4153134,1,177744.0,1,D,1,0.7
11857,9633,M,47,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,48328.89492753623,276,2662518,1,59448.0,0,D,1,0.7
6363,5267,F,26,Kladno,central Bohemia,9753,5.05,POPLATEK MESICNE,43748.0686695279,233,2867866,1,129312.0,0,D,1,0.7
8510,7052,M,52,Brno - venkov,south Moravia,8743,2.43,POPLATEK PO OBRATU,21967.14423076923,104,564033,1,63972.0,0,D,1,0.69
9846,7966,F,32,Brno - mesto,south Moravia,9897,1.96,POPLATEK MESICNE,44964.875,168,1402320,1,473280.0,0,D,1,0.68
2708,2236,M,41,Opava,north Moravia,8746,3.74,POPLATEK MESICNE,22738.48538011696,171,1307145,1,139464.0,0,D,1,0.68
12464,10131,M,40,Most,north Bohemia,10446,9.4,POPLATEK MESICNE,35553.26065162908,399,2894072,0,215388.0,0,B,1,0.68
4786,3967,M,61,Brno - mesto,south Moravia,9897,1.96,POPLATEK MESICNE,57086.68253968254,189,2395987,1,84600.0,0,D,1,0.67
5203,4320,F,54,Trebic,south Moravia,8814,5.74,POPLATEK MESICNE,47434.37755102041,196,2877730,0,51360.0,0,B,1,0.66
946,790,M,48,Brno - mesto,south Moravia,9897,1.96,POPLATEK MESICNE,45511.28078817734,406,3769526,0,208128.0,1,B,1,0.66
8105,6715,M,36,Olomouc,north Moravia,8994,4.79,POPLATEK TYDNE,33760.87313432836,402,2585940,1,137880.0,0,D,1,0.65
3855,3189,M,60,Rokycany,west Bohemia,8843,3.6,POPLATEK MESICNE,34328.72448979592,196,1452161,1,222180.0,0,D,1,0.65
7435,6158,F,42,Bruntal,north Moravia,8110,6.55,POPLATEK MESICNE,48419.52252252252,111,1009948,1,247920.0,0,D,1,0.65
13548,11021,M,23,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,63229.39278557114,499,5041803,0,168984.0,0,B,1,0.65
10159,8225,M,61,Svitavy,east Bohemia,8187,5.45,POPLATEK MESICNE,26264.663265306124,196,987042,1,36204.0,0,D,1,0.64
6299,5213,M,63,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,47205.455149501664,301,4033318,1,320976.0,1,D,1,0.64
3730,3084,F,54,Kromeriz,south Moravia,8444,3.47,POPLATEK TYDNE,31399.71,200,1643053,1,253512.0,0,D,1,0.63
45,37,M,47,Strakonice,south Bohemia,8547,3.64,POPLATEK MESICNE,37547.484615384616,130,948159,1,318480.0,0,D,1,0.63
533,442,F,58,Brno - mesto,south Moravia,9897,1.96,POPLATEK MESICNE,31241.4875,80,804592,1,357840.0,0,D,1,0.62
9973,8073,F,54,Karlovy Vary,west Bohemia,8991,2.01,POPLATEK PO OBRATU,49615.367729831145,533,5190132,0,49320.0,0,B,1,0.61
6936,5735,F,40,Usti nad Orlici,east Bohemia,8363,3.49,POPLATEK MESICNE,51671.276190476194,315,3217275,1,290700.0,0,D,1,0.58
4968,4127,M,61,Svitavy,east Bohemia,8187,5.45,POPLATEK MESICNE,17675.408450704224,142,576627,1,100800.0,0,D,1,0.58
968,808,M,42,Jesenik,north Moravia,8173,7.01,POPLATEK MESICNE,18051.91958041958,286,1387906,1,215616.0,0,D,1,0.5
5337,4427,M,38,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,18739.486559139787,372,1617565,0,87816.0,0,A,0,0.49
7311,6051,M,50,Breclav,south Moravia,8772,4.98,POPLATEK MESICNE,16486.544757033247,391,1414293,0,276660.0,0,B,1,0.48
1851,1527,F,24,Tachov,west Bohemia,8930,4.2,POPLATEK PO OBRATU,36316.57326478149,389,3678761,0,164052.0,0,B,1,0.46
2834,2345,M,50,Usti nad Orlici,east Bohemia,8363,3.49,POPLATEK MESICNE,32837.6275,400,2685005,1,199680.0,0,C,0,0.42
1286,1071,F,49,Usti nad Orlici,east Bohemia,8363,3.49,POPLATEK TYDNE,47187.45292620865,393,3758239,1,253200.0,0,C,0,0.41
426,349,M,62,Olomouc,north Moravia,8994,4.79,POPLATEK MESICNE,17055.168224299065,107,341603,1,42816.0,0,C,0,0.4
4520,3747,F,42,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,17848.691211401427,421,1281895,0,76380.0,0,A,0,0.39
8130,6738,F,23,Uherske Hradiste,south Moravia,8544,1.86,POPLATEK MESICNE,37719.62152777778,288,2153880,0,37908.0,0,A,0,0.39
7291,6034,F,59,Vsetin,north Moravia,8909,5.56,POPLATEK TYDNE,37420.98639455783,441,4468719,0,464520.0,0,B,1,0.38
6829,5650,F,36,Praha - vychod,central Bohemia,10124,0.54,POPLATEK PO OBRATU,43995.25993883792,327,2621159,0,98592.0,0,A,0,0.37
2392,1967,M,44,Plzen - mesto,west Bohemia,10787,3.09,POPLATEK TYDNE,45595.81456953642,302,3681220,1,249312.0,0,C,0,0.37
10813,8772,F,20,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,15259.625,192,751260,1,88272.0,0,C,0,0.37
2451,2018,M,60,Havlickuv Brod,east Bohemia,8388,2.94,POPLATEK MESICNE,17777.094262295082,244,568057,0,38520.0,0,A,0,0.35
13260,10788,F,22,Olomouc,north Moravia,8994,4.79,POPLATEK TYDNE,31357.361930294905,373,2241628,0,45768.0,0,A,0,0.33
2181,1801,M,31,Nachod,east Bohemia,8369,2.31,POPLATEK MESICNE,43499.84202211691,633,4751851,0,165960.0,0,A,0,0.33
13346,10857,M,43,Svitavy,east Bohemia,8187,5.45,POPLATEK MESICNE,23113.37341772152,158,1348465,1,385560.0,0,D,1,0.33
5517,4576,M,35,Hodonin,south Moravia,8720,4.5,POPLATEK MESICNE,35204.224096385544,415,2752868,0,300204.0,0,A,0,0.33
11804,9591,M,55,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,45250.45514223195,457,4371113,0,104712.0,0,A,0,0.33
981,817,M,39,Kolin,central Bohemia,9307,4.43,POPLATEK MESICNE,31340.382271468145,361,2622729,1,538500.0,0,C,0,0.32
9702,7844,F,48,Decin,north Bohemia,8705,7.61,POPLATEK MESICNE,48070.34972677596,366,4208592,0,91584.0,0,A,0,0.32
9226,7445,F,60,Zlin,south Moravia,9624,2.31,POPLATEK MESICNE,42411.901669758816,539,4787866,0,55368.0,0,A,0,0.32
1917,1583,F,30,Jesenik,north Moravia,8173,7.01,POPLATEK PO OBRATU,38211.29498525074,339,3824772,1,388512.0,0,D,1,0.32
10510,8519,F,54,Cheb,west Bohemia,8624,2.66,POPLATEK MESICNE,47345.55218216319,527,5581784,0,74688.0,0,A,0,0.32
1282,1068,M,63,Usti nad Orlici,east Bohemia,8363,3.49,POPLATEK MESICNE,34852.120253164554,158,867309,1,253200.0,0,C,0,0.31
10389,8411,F,56,Strakonice,south Bohemia,8547,3.64,POPLATEK MESICNE,31612.20918367347,392,2361498,1,220620.0,0,C,0,0.31
12003,9750,M,23,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,47080.875,416,4306964,1,151728.0,0,D,1,0.31
3767,3115,M,63,Ceske Budejovice,south Bohemia,10045,1.71,POPLATEK MESICNE,36220.728155339806,206,2306539,1,321180.0,0,C,0,0.3
12625,10266,M,41,Brno - mesto,south Moravia,9897,1.96,POPLATEK MESICNE,38446.62030905077,453,4400811,0,75624.0,0,B,1,0.3
4529,3754,M,23,Litomerice,north Bohemia,9065,5.39,POPLATEK TYDNE,49882.32051282052,312,2136509,0,68544.0,0,A,0,0.3
383,314,F,60,Cesky Krumlov,south Bohemia,9045,3.6,POPLATEK PO OBRATU,39265.5067264574,223,2804883,1,66840.0,0,C,0,0.28
7815,6473,F,53,Kladno,central Bohemia,9753,5.05,POPLATEK MESICNE,46888.48837209302,473,5475314,0,76908.0,0,B,1,0.28
9670,7819,M,51,Louny,north Bohemia,8965,8.23,POPLATEK MESICNE,20476.82233502538,591,1298800,1,20832.0,0,C,0,0.27
4434,3679,M,35,Zlin,south Moravia,9624,2.31,POPLATEK MESICNE,32884.16053511706,299,1660427,1,444864.0,0,C,0,0.26
4474,3711,F,35,Beroun,central Bohemia,8980,2.21,POPLATEK MESICNE,24349.287128712876,101,768070,1,460980.0,0,D,1,0.26
4722,3916,M,27,Mlada Boleslav,central Bohemia,11277,1.44,POPLATEK MESICNE,18985.94680851064,94,535186,1,96984.0,0,C,0,0.26
7390,6118,M,62,Hl.m. Praha,Prague,12541,0.43,POPLATEK TYDNE,44437.72549019608,408,3032921,0,270648.0,0,B,1,0.25
3471,2872,F,47,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,18990.2774566474,173,749688,1,268320.0,0,C,0,0.25
7339,6075,F,25,Prachatice,south Bohemia,8402,3.98,POPLATEK MESICNE,14818.5390625,128,407801,1,407952.0,0,D,1,0.25
12416,10093,M,26,Hl.m. Praha,Prague,12541,0.43,POPLATEK TYDNE,44400.98723404255,470,4696529,0,231696.0,0,A,0,0.25
2720,2246,F,50,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,46116.73015873016,189,2448294,1,415800.0,0,C,0,0.24
10702,8680,M,61,Pelhrimov,south Bohemia,8114,2.62,POPLATEK MESICNE,21190.644,250,1082901,1,85716.0,0,C,0,0.24
7765,6434,F,41,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,48492.11885245902,244,2615656,0,110136.0,0,A,0,0.24
2195,1811,F,57,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK MESICNE,35110.631914893616,470,3371937,1,239460.0,0,C,0,0.23
5866,4858,F,21,Bruntal,north Moravia,8110,6.55,POPLATEK MESICNE,31331.328358208957,134,1611321,1,335184.0,0,D,1,0.23
6499,5385,M,36,Chrudim,east Bohemia,8254,3.76,POPLATEK TYDNE,35020.355971896955,427,2346750,1,149340.0,0,C,0,0.23
5134,4260,F,32,Jihlava,south Moravia,8757,3.95,POPLATEK MESICNE,30600.56712328767,365,3269091,1,244560.0,0,C,0,0.23
7678,6358,M,37,Beroun,central Bohemia,8980,2.21,POPLATEK MESICNE,47479.65957446808,282,3187429,1,270384.0,0,C,0,0.23
4652,3859,M,37,Blansko,south Moravia,8240,3.56,POPLATEK MESICNE,31669.20809248555,173,1797734,1,307200.0,0,D,1,0.22
9987,8085,F,49,Opava,north Moravia,8746,3.74,POPLATEK MESICNE,33174.60344827586,232,2112043,1,260400.0,0,D,1,0.22
6544,5422,M,25,Zdar nad Sazavou,south Moravia,8512,4.12,POPLATEK MESICNE,50416.7875,480,4686646,1,368880.0,0,C,0,0.22
13190,10728,M,43,Novy Jicin,north Moravia,8678,5.57,POPLATEK MESICNE,40462.38438438439,333,2155165,1,154656.0,0,C,0,0.22
6034,4995,M,60,Strakonice,south Bohemia,8547,3.64,POPLATEK TYDNE,43608.5,308,3096660,1,128988.0,0,D,1,0.21
10273,8320,F,41,Trutnov,east Bohemia,8541,2.97,POPLATEK MESICNE,37136.68711656442,163,1523634,1,309660.0,0,C,0,0.21
7241,5991,F,42,Hodonin,south Moravia,8720,4.5,POPLATEK MESICNE,33080.69063180828,459,2173132,0,61056.0,0,A,0,0.21
5318,4413,M,31,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK TYDNE,37825.62790697674,387,4279387,1,221280.0,0,C,0,0.21
10282,8327,M,20,Hl.m. Praha,Prague,12541,0.43,POPLATEK TYDNE,48589.16224188791,339,2572061,1,247728.0,1,C,0,0.2
1608,1329,M,58,Blansko,south Moravia,8240,3.56,POPLATEK MESICNE,21759.182857142856,175,711373,0,23520.0,0,A,0,0.2
1594,1318,M,60,Breclav,south Moravia,8772,4.98,POPLATEK MESICNE,22717.736842105263,57,378128,1,185544.0,0,C,0,0.2
2136,1762,F,59,Plzen - sever,west Bohemia,8594,2.01,POPLATEK MESICNE,30375.148979591835,490,2516447,0,248148.0,0,A,0,0.2
3072,2545,M,63,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,19475.354166666668,192,699669,1,428784.0,0,C,0,0.2
11149,9052,M,34,Hradec Kralove,east Bohemia,9425,2.5,POPLATEK PO OBRATU,45866.59735973598,303,3159773,1,71976.0,0,D,1,0.2
11130,9037,F,38,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,35405.344660194176,206,853531,1,321936.0,0,C,0,0.19
11250,9138,F,53,Plzen - mesto,west Bohemia,10787,3.09,POPLATEK MESICNE,35173.10747663552,214,1597320,1,272220.0,0,D,1,0.19
10987,8919,F,38,Uherske Hradiste,south Moravia,8544,1.86,POPLATEK MESICNE,22085.475177304965,141,267077,1,76104.0,0,C,0,0.19
5333,4423,F,32,Most,north Bohemia,10446,9.4,POPLATEK MESICNE,43375.69850746269,335,2712558,0,73836.0,1,A,0,0.19
12358,10049,M,56,Pelhrimov,south Bohemia,8114,2.62,POPLATEK MESICNE,17875.3,230,726987,0,91632.0,0,A,0,0.19
11978,9731,M,28,Brno - mesto,south Moravia,9897,1.96,POPLATEK PO OBRATU,31905.517341040464,346,2031690,0,113796.0,0,A,0,0.19
10475,8489,F,51,Trutnov,east Bohemia,8541,2.97,POPLATEK MESICNE,39222.47893569845,451,2392645,0,265320.0,0,A,0,0.19
1102,915,M,64,Olomouc,north Moravia,8994,4.79,POPLATEK MESICNE,51495.42424242424,330,3941759,1,309552.0,0,C,0,0.18
9316,7523,F,41,Vyskov,south Moravia,8288,4.52,POPLATEK MESICNE,33971.81865284974,386,2339400,0,288468.0,0,A,0,0.18
944,789,M,29,Most,north Bohemia,10446,9.4,POPLATEK MESICNE,17913.54081632653,294,594484,1,73056.0,0,C,0,0.18
1511,1252,F,37,Rakovnik,central Bohemia,8598,3.26,POPLATEK TYDNE,42941.04583333333,240,2160305,1,148140.0,0,C,0,0.18
6922,5724,F,60,Ceske Budejovice,south Bohemia,10045,1.71,POPLATEK PO OBRATU,34838.17745803357,417,2774335,1,232560.0,0,C,0,0.17
7299,6040,M,61,Hl.m. Praha,Prague,12541,0.43,POPLATEK MESICNE,34715.81379310345,580,3268798,0,11736.0,0,A,0,0.17
13687,11135,M,40,Prerov,north Moravia,8819,5.66,POPLATEK MESICNE,39338.67067307692,416,2100508,0,182628.0,0,A,0,0.17
1404,1166,F,31,Praha - zapad,central Bohemia,9622,0.59,POPLATEK MESICNE,37200.3937360179,447,2752895,0,149040.0,0,A,0,0.17
10555,8558,M,64,Hl.m. Praha,Prague,12541,0.43,POPLATEK PO OBRATU,37991.92284866469,337,2032208,1,288360.0,0,C,0,0.16
2494,2055,M,28,Litomerice,north Bohemia,9065,5.39,POPLATEK MESICNE,13352.888888888889,99,460548,1,271260.0,0,C,0,0.16
13172,10711,M,61,Liberec,north Bohemia,9198,4.28,POPLATEK MESICNE,79272.12449799197,249,1333196,1,24180.0,0,C,0,0.16
13113,10663,M,23,Praha - zapad,central Bohemia,9622,0.59,POPLATEK MESICNE,46606.323467230446,473,5658134,0,260028.0,1,A,0,0.16
5050,4190,M,48,Uherske Hradiste,south Moravia,8544,1.86,POPLATEK MESICNE,31995.693037974685,316,1114265,1,405780.0,0,C,0,0.16
13051,10613,M,34,Brno - venkov,south Moravia,8743,2.43,POPLATEK MESICNE,51564.168831168834,77,974907,1,249792.0,1,C,0,0.15
10382,8405,F,34,Strakonice,south Bohemia,8547,3.64,POPLATEK MESICNE,36648.234962406015,532,2663897,1,266220.0,0,C,0,0.15
4299,3562,F,22,Svitavy,east Bohemia,8187,5.45,POPLATEK MESICNE,65372.275,200,2537129,1,174960.0,0,C,0,0.15
1663,1375,M,42,Prachatice,south Bohemia,8402,3.98,POPLATEK MESICNE,51307.85474860335,358,2428534,0,45336.0,0,A,0,0.15
12695,10320,M,20,Frydek - Mistek,north Moravia,9893,4.72,POPLATEK MESICNE,38296.120181405895,441,3752972,0,259740.0,0,A,0,0.15
3284,2720,M,63,Benesov,central Bohemia,8507,1.85,POPLATEK TYDNE,63682.64071856288,167,2073922,1,93888.0,0,C,0,0.15
10492,8505,M,62,Karvina,north Moravia,10177,7.75,POPLATEK MESICNE,35217.88148148148,135,702296,0,42840.0,0,A,0,0.15
6122,5072,F,31,Kutna Hora,central Bohemia,8546,4.02,POPLATEK MESICNE,47649.816053511706,299,1701840,1,317520.0,0,C,0,0.15
5606,4650,M,19,Kladno,central Bohemia,9753,5.05,POPLATEK MESICNE,24344.71747211896,269,832259,1,402000.0,0,C,0,0.14
11685,9493,F,34,Zlin,south Moravia,9624,2.31,POPLATEK MESICNE,48719.74172185431,302,2273386,1,188688.0,0,C,0,0.14
11362,9227,F,33,Trutnov,east Bohemia,8541,2.97,POPLATEK MESICNE,16424.47,100,207311,1,191580.0,0,C,0,0.14
10200,8261,F,19,Rakovnik,central Bohemia,8598,3.26,POPLATEK MESICNE,30675.87851851852,675,3241957,0,87840.0,0,A,0,0.14
2853,2361,F,43,Plzen - sever,west Bohemia,8594,2.01,POPLATEK MESICNE,19727.604904632157,367,1193235,0,156672.0,0,A,0,0.14
2700,2228,M,54,Chomutov,north Bohemia,9675,7.68,POPLATEK MESICNE,46685.13764044944,356,3214904,1,185952.0,0,C,0,0.14
6473,5362,F,59,Sumperk,north Moravia,8369,5.88,POPLATEK TYDNE,29765.375,192,1566470,1,202848.0,0,C,0,0.14
5977,4948,M,20,Hradec Kralove,east Bohemia,9425,2.5,POPLATEK MESICNE,42951.0970464135,237,2101584,1,359760.0,0,C,0,0.13
8506,7049,F,20,Jesenik,north Moravia,8173,7.01,POPLATEK MESICNE,54329.25,76,1502708,1,495180.0,1,C,0,0.13
4584,3804,F,50,Melnik,central Bohemia,9920,2.87,POPLATEK MESICNE,45728.6,450,3920257,0,63252.0,0,A,0,0.13
6803,5632,F,19,Kolin,central Bohemia,9307,4.43,POPLATEK TYDNE,58264.65950920245,326,4506995,1,285600.0,0,C,0,0.13
8392,6950,F,33,Liberec,north Bohemia,9198,4.28,POPLATEK MESICNE,46895.34782608696,161,1366082,1,475680.0,1,C,0,0.13
6798,5628,F,51,Trebic,south Moravia,8814,5.74,POPLATEK MESICNE,34890.91693290735,313,1645425,1,225420.0,0,C,0,0.13
11379,9241,M,47,Ostrava - mesto,north Moravia,10673,5.44,POPLATEK MESICNE,41142.75247524752,202,1672925,1,285240.0,0,C,0,0.13
9945,8051,F,31,Tachov,west Bohemia,8930,4.2,POPLATEK TYDNE,41532.387019230766,416,3966074,0,208320.0,0,A,0,0.13
13845,11265,M,26,Cesky Krumlov,south Bohemia,9045,3.6,POPLATEK MESICNE,22010.19421487603,484,1284945,0,52788.0,0,A,0,0.13
11271,9156,M,62,Pisek,south Bohemia,8968,3.35,POPLATEK MESICNE,28793.45833333333,72,594115,1,163332.0,0,C,0,0.13
9606,7765,M,50,Usti nad Orlici,east Bohemia,8363,3.49,POPLATEK TYDNE,42331.22324159021,327,3006997,0,27984.0,0,A,0,0.13
11911,9677,M,60,Mlada Boleslav,central Bohemia,11277,1.44,POPLATEK MESICNE,34813.757763975154,161,778494,1,31620.0,0,C,0,0.13
2966,2456,M,44,Znojmo,south Moravia,8403,5.72,POPLATEK MESICNE,40951.70943396226,265,2308615,1,200976.0,0,C,0,0.12
12095,9828,M,60,Pardubice,east Bohemia,9538,1.81,POPLATEK MESICNE,45819.17487684729,406,4607578,0,126600.0,0,A,0,0.12
10090,8169,F,19,Rokycany,west Bohemia,8843,3.6,POPLATEK MESICNE,20668.513513513517,259,898916,1,97980.0,0,C,0,0.12
124,103,M,32,Chrudim,east Bohemia,8254,3.76,POPLATEK MESICNE,48288.84864864865,185,1714758,1,265320.0,0,D,1,0.12
5322,4415,F,43,Opava,north Moravia,8746,3.74,POPLATEK MESICNE,49231.2241813602,397,2209098,0,74040.0,0,A,0,0.12
4377,3629,M,21,Rychnov nad Kneznou,east Bohemia,9060,2.44,POPLATEK MESICNE,22880.637735849057,530,2303487,1,158760.0,0,C,0,0.12
10350,8377,F,38,Rokycany,west Bohemia,8843,3.6,POPLATEK MESICNE,42368.40189125296,423,2796773,1,417060.0,0,C,0,0.11
